,Opponent,z_score,Av_GW_Points,Position,Difficulty
0,ARS (A),-0.4,1.71,GK,5
1,ARS (H),-0.03,2.76,GK,3
2,AVL (A),-0.01,2.81,GK,3
3,AVL (H),-0.1,2.56,GK,4
4,BHA (A),-0.16,2.41,GK,4
5,BHA (H),-0.44,1.62,GK,5
6,BOU (A),-0.01,2.81,GK,3
7,BOU (H),0.23,3.5,GK,2
8,BRE (A),-0.6,1.15,GK,5
9,BRE (H),0.29,3.68,GK,1
10,CHE (A),-0.2,2.29,GK,4
11,CHE (H),-0.57,1.23,GK,5
12,CRY (A),0.73,4.91,GK,1
13,CRY (H),-0.08,2.63,GK,3
14,EVE (A),0.23,3.52,GK,2
15,EVE (H),0.61,4.58,GK,1
16,FUL (A),-0.32,1.94,GK,5
17,FUL (H),-0.07,2.65,GK,3
18,IPS (A),0.47,4.18,GK,1
19,IPS (H),0.05,3.0,GK,2
20,LEI (A),-0.22,2.24,GK,5
21,LEI (H),0.03,2.94,GK,2
22,LIV (A),-0.21,2.26,GK,4
23,LIV (H),-0.37,1.81,GK,5
24,MCI (A),-0.11,2.54,GK,4
25,MCI (H),-0.12,2.51,GK,4
26,MUN (A),-0.05,2.71,GK,3
27,MUN (H),0.54,4.38,GK,1
28,NEW (A),0.19,3.38,GK,2
29,NEW (H),-0.0,2.85,GK,2
30,NFO (A),-0.17,2.36,GK,4
31,NFO (H),-0.03,2.77,GK,3
32,SOU (A),0.41,4.03,GK,1
33,SOU (H),0.54,4.38,GK,1
34,TOT (A),-0.34,1.89,GK,5
35,TOT (H),0.08,3.09,GK,2
36,WHU (A),0.06,3.03,GK,2
37,WHU (H),-0.02,2.8,GK,3
38,WOL (A),-0.1,2.57,GK,4
39,WOL (H),0.34,3.83,GK,1
0,ARS (A),-0.4,1.71,DEF,5
1,ARS (H),-0.03,2.76,DEF,3
2,AVL (A),-0.01,2.81,DEF,3
3,AVL (H),-0.1,2.56,DEF,4
4,BHA (A),-0.16,2.41,DEF,4
5,BHA (H),-0.44,1.62,DEF,5
6,BOU (A),-0.01,2.81,DEF,3
7,BOU (H),0.23,3.5,DEF,2
8,BRE (A),-0.6,1.15,DEF,5
9,BRE (H),0.29,3.68,DEF,1
10,CHE (A),-0.2,2.29,DEF,4
11,CHE (H),-0.57,1.23,DEF,5
12,CRY (A),0.73,4.91,DEF,1
13,CRY (H),-0.08,2.63,DEF,3
14,EVE (A),0.23,3.52,DEF,2
15,EVE (H),0.61,4.58,DEF,1
16,FUL (A),-0.32,1.94,DEF,5
17,FUL (H),-0.07,2.65,DEF,3
18,IPS (A),0.47,4.18,DEF,1
19,IPS (H),0.05,3.0,DEF,2
20,LEI (A),-0.22,2.24,DEF,5
21,LEI (H),0.03,2.94,DEF,2
22,LIV (A),-0.21,2.26,DEF,4
23,LIV (H),-0.37,1.81,DEF,5
24,MCI (A),-0.11,2.54,DEF,4
25,MCI (H),-0.12,2.51,DEF,4
26,MUN (A),-0.05,2.71,DEF,3
27,MUN (H),0.54,4.38,DEF,1
28,NEW (A),0.19,3.38,DEF,2
29,NEW (H),-0.0,2.85,DEF,2
30,NFO (A),-0.17,2.36,DEF,4
31,NFO (H),-0.03,2.77,DEF,3
32,SOU (A),0.41,4.03,DEF,1
33,SOU (H),0.54,4.38,DEF,1
34,TOT (A),-0.34,1.89,DEF,5
35,TOT (H),0.08,3.09,DEF,2
36,WHU (A),0.06,3.03,DEF,2
37,WHU (H),-0.02,2.8,DEF,3
38,WOL (A),-0.1,2.57,DEF,4
39,WOL (H),0.34,3.83,DEF,1
0,ARS (A),-0.34,2.65,MID,5
1,ARS (H),-0.2,3.1,MID,5
2,AVL (A),-0.11,3.42,MID,4
3,AVL (H),0.16,4.34,MID,2
4,BHA (A),-0.09,3.47,MID,3
5,BHA (H),-0.03,3.68,MID,3
6,BOU (A),-0.28,2.85,MID,5
7,BOU (H),0.18,4.38,MID,2
8,BRE (A),0.0,3.79,MID,3
9,BRE (H),0.22,4.51,MID,1
10,CHE (A),-0.08,3.53,MID,3
11,CHE (H),-0.23,3.0,MID,5
12,CRY (A),-0.05,3.62,MID,3
13,CRY (H),0.07,4.03,MID,2
14,EVE (A),-0.12,3.39,MID,4
15,EVE (H),0.26,4.66,MID,1
16,FUL (A),0.09,4.08,MID,2
17,FUL (H),-0.24,2.97,MID,5
18,IPS (A),0.12,4.21,MID,2
19,IPS (H),0.44,5.28,MID,1
20,LEI (A),-0.13,3.33,MID,4
21,LEI (H),0.41,5.18,MID,1
22,LIV (A),-0.49,2.12,MID,5
23,LIV (H),-0.22,3.05,MID,5
24,MCI (A),-0.22,3.03,MID,5
25,MCI (H),-0.14,3.32,MID,4
26,MUN (A),-0.05,3.62,MID,3
27,MUN (H),-0.15,3.26,MID,4
28,NEW (A),-0.15,3.27,MID,4
29,NEW (H),-0.05,3.61,MID,3
30,NFO (A),-0.17,3.2,MID,4
31,NFO (H),0.09,4.08,MID,2
32,SOU (A),0.15,4.31,MID,2
33,SOU (H),0.44,5.27,MID,1
34,TOT (A),-0.17,3.22,MID,4
35,TOT (H),-0.07,3.56,MID,3
36,WHU (A),0.26,4.68,MID,1
37,WHU (H),0.14,4.26,MID,2
38,WOL (A),0.25,4.63,MID,1
39,WOL (H),0.3,4.81,MID,1
0,ARS (A),-0.34,2.65,FWD,5
1,ARS (H),-0.2,3.1,FWD,5
2,AVL (A),-0.11,3.42,FWD,4
3,AVL (H),0.16,4.34,FWD,2
4,BHA (A),-0.09,3.47,FWD,3
5,BHA (H),-0.03,3.68,FWD,3
6,BOU (A),-0.28,2.85,FWD,5
7,BOU (H),0.18,4.38,FWD,2
8,BRE (A),0.0,3.79,FWD,3
9,BRE (H),0.22,4.51,FWD,1
10,CHE (A),-0.08,3.53,FWD,3
11,CHE (H),-0.23,3.0,FWD,5
12,CRY (A),-0.05,3.62,FWD,3
13,CRY (H),0.07,4.03,FWD,2
14,EVE (A),-0.12,3.39,FWD,4
15,EVE (H),0.26,4.66,FWD,1
16,FUL (A),0.09,4.08,FWD,2
17,FUL (H),-0.24,2.97,FWD,5
18,IPS (A),0.12,4.21,FWD,2
19,IPS (H),0.44,5.28,FWD,1
20,LEI (A),-0.13,3.33,FWD,4
21,LEI (H),0.41,5.18,FWD,1
22,LIV (A),-0.49,2.12,FWD,5
23,LIV (H),-0.22,3.05,FWD,5
24,MCI (A),-0.22,3.03,FWD,5
25,MCI (H),-0.14,3.32,FWD,4
26,MUN (A),-0.05,3.62,FWD,3
27,MUN (H),-0.15,3.26,FWD,4
28,NEW (A),-0.15,3.27,FWD,4
29,NEW (H),-0.05,3.61,FWD,3
30,NFO (A),-0.17,3.2,FWD,4
31,NFO (H),0.09,4.08,FWD,2
32,SOU (A),0.15,4.31,FWD,2
33,SOU (H),0.44,5.27,FWD,1
34,TOT (A),-0.17,3.22,FWD,4
35,TOT (H),-0.07,3.56,FWD,3
36,WHU (A),0.26,4.68,FWD,1
37,WHU (H),0.14,4.26,FWD,2
38,WOL (A),0.25,4.63,FWD,1
39,WOL (H),0.3,4.81,FWD,1
