Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Arsenal,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),IPS (H),BRE (A),BHA (A),TOT (H),AVL (H),WOL (A),MCI (H),LEI (A),WHU (H),NFO (A),MUN (A),CHE (H),FUL (H),EVE (A),BRE (H),IPS (A),CRY (H),BOU (H),LIV (A),NEW (H),SOU (A)
Aston Villa,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),MUN (H),FUL (A),BOU (H),TOT (A),LIV (A),CRY (H),CHE (A),BRE (H),SOU (H),NFO (A),MCI (H),NEW (A),BHA (H),LEI (H),EVE (A),ARS (A),WHU (H),WOL (A),IPS (H),CHE (H),CRY (A),BRE (A),LIV (H),BHA (A),NFO (H),SOU (A),NEW (H),MCI (A),FUL (H),BOU (A),TOT (H),MUN (A)
Bournemouth,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),LEI (A),ARS (H),AVL (A),MCI (H),BRE (A),BHA (H),WOL (A),TOT (H),IPS (A),WHU (H),MUN (A),CRY (H),FUL (A),EVE (H),CHE (A),NEW (A),NFO (H),LIV (H),SOU (A),WOL (H),BHA (A),TOT (A),BRE (H),IPS (H),WHU (A),FUL (H),CRY (A),MUN (H),ARS (A),AVL (H),MCI (A),LEI (H)
Brentford,CRY (H),LIV (A),SOU (H),MCI (A),TOT (A),WHU (H),WOL (H),MUN (A),IPS (H),FUL (A),BOU (H),EVE (A),LEI (H),AVL (A),NEW (H),CHE (A),NFO (H),BHA (A),ARS (H),SOU (A),MCI (H),LIV (H),CRY (A),TOT (H),WHU (A),LEI (A),EVE (H),AVL (H),BOU (A),NEW (A),CHE (H),ARS (A),BHA (H),NFO (A),MUN (H),IPS (A),FUL (H),WOL (A)
Brighton,EVE (A),MUN (H),ARS (A),IPS (H),NFO (H),CHE (A),TOT (H),NEW (A),WOL (H),LIV (A),MCI (H),BOU (A),SOU (H),FUL (A),LEI (A),CRY (H),WHU (A),BRE (H),AVL (A),ARS (H),IPS (A),MUN (A),EVE (H),NFO (A),CHE (H),SOU (A),BOU (H),FUL (H),MCI (A),AVL (H),CRY (A),LEI (H),BRE (A),WHU (H),NEW (H),WOL (A),LIV (H),TOT (A)
Chelsea,MCI (H),WOL (A),CRY (H),BOU (A),WHU (A),BHA (H),NFO (H),LIV (A),NEW (H),MUN (A),ARS (H),LEI (A),AVL (H),SOU (A),TOT (A),BRE (H),EVE (A),FUL (H),IPS (A),CRY (A),BOU (H),WOL (H),MCI (A),WHU (H),BHA (A),AVL (A),SOU (H),LEI (H),ARS (A),TOT (H),BRE (A),IPS (H),FUL (A),EVE (H),LIV (H),NEW (A),MUN (H),NFO (A)
Crystal Palace,BRE (A),WHU (H),CHE (A),LEI (H),MUN (H),EVE (A),LIV (H),NFO (A),TOT (H),WOL (A),FUL (H),AVL (A),NEW (H),IPS (A),MCI (H),BHA (A),ARS (H),BOU (A),SOU (H),CHE (H),LEI (A),WHU (A),BRE (H),MUN (A),EVE (H),FUL (A),AVL (H),IPS (H),NEW (A),SOU (A),BHA (H),MCI (A),BOU (H),ARS (A),NFO (H),TOT (A),WOL (H),LIV (A)
Everton,BHA (H),TOT (A),BOU (H),AVL (A),LEI (A),CRY (H),NEW (H),IPS (A),FUL (H),SOU (A),WHU (A),BRE (H),MUN (A),WOL (H),LIV (H),ARS (A),CHE (H),MCI (A),NFO (H),BOU (A),AVL (H),TOT (H),BHA (A),LEI (H),CRY (A),MUN (H),BRE (A),WOL (A),WHU (H),LIV (A),ARS (H),NFO (A),MCI (H),CHE (A),IPS (H),FUL (A),SOU (H),NEW (A)
Fulham,MUN (A),LEI (H),IPS (A),WHU (H),NEW (H),NFO (A),MCI (A),AVL (H),EVE (A),BRE (H),CRY (A),WOL (H),TOT (A),BHA (H),ARS (H),LIV (A),SOU (H),CHE (A),BOU (H),IPS (H),WHU (A),LEI (A),MUN (H),NEW (A),NFO (H),CRY (H),WOL (A),BHA (A),TOT (H),ARS (A),LIV (H),BOU (A),CHE (H),SOU (A),AVL (A),EVE (H),BRE (A),MCI (H)
Ipswich Town,LIV (H),MCI (A),FUL (H),BHA (A),SOU (A),AVL (H),WHU (A),EVE (H),BRE (A),LEI (H),TOT (A),MUN (H),NFO (A),CRY (H),BOU (H),WOL (A),NEW (H),ARS (A),CHE (H),FUL (A),BHA (H),MCI (H),LIV (A),SOU (H),AVL (A),TOT (H),MUN (A),CRY (A),NFO (H),BOU (A),WOL (H),CHE (A),ARS (H),NEW (A),EVE (A),BRE (H),LEI (A),WHU (H)
Leicester City,TOT (H),FUL (A),AVL (H),CRY (A),EVE (H),ARS (A),BOU (H),SOU (A),NFO (H),IPS (A),MUN (A),CHE (H),BRE (A),WHU (H),BHA (H),NEW (A),WOL (H),LIV (A),MCI (H),AVL (A),CRY (H),FUL (H),TOT (A),EVE (A),ARS (H),BRE (H),WHU (A),CHE (A),MUN (H),MCI (A),NEW (H),BHA (A),LIV (H),WOL (A),SOU (H),NFO (A),IPS (H),BOU (A)
Liverpool,IPS (A),BRE (H),MUN (A),NFO (H),BOU (H),WOL (A),CRY (A),CHE (H),ARS (A),BHA (H),AVL (H),SOU (A),MCI (H),NEW (A),EVE (A),FUL (H),TOT (A),LEI (H),WHU (A),MUN (H),NFO (A),BRE (A),IPS (H),BOU (A),WOL (H),MCI (A),NEW (H),SOU (H),AVL (A),EVE (H),FUL (A),WHU (H),LEI (A),TOT (H),CHE (A),ARS (H),BHA (A),CRY (H)
Manchester City,CHE (A),IPS (H),WHU (A),BRE (H),ARS (H),NEW (A),FUL (H),WOL (A),SOU (H),BOU (A),BHA (A),TOT (H),LIV (A),NFO (H),CRY (A),MUN (H),AVL (A),EVE (H),LEI (A),WHU (H),BRE (A),IPS (A),CHE (H),ARS (A),NEW (H),LIV (H),TOT (A),NFO (A),BHA (H),LEI (H),MUN (A),CRY (H),EVE (A),AVL (H),WOL (H),SOU (A),BOU (H),FUL (A)
Manchester Utd,FUL (H),BHA (A),LIV (H),SOU (A),CRY (A),TOT (H),AVL (A),BRE (H),WHU (A),CHE (H),LEI (H),IPS (A),EVE (H),ARS (A),NFO (H),MCI (A),BOU (H),WOL (A),NEW (H),LIV (A),SOU (H),BHA (H),FUL (A),CRY (H),TOT (A),EVE (A),IPS (H),ARS (H),LEI (A),NFO (A),MCI (H),NEW (A),WOL (H),BOU (A),BRE (A),WHU (H),CHE (A),AVL (H)
Newcastle Utd,SOU (H),BOU (A),TOT (H),WOL (A),FUL (A),MCI (H),EVE (A),BHA (H),CHE (A),ARS (H),NFO (A),WHU (H),CRY (A),LIV (H),BRE (A),LEI (H),IPS (A),AVL (H),MUN (A),TOT (A),WOL (H),BOU (H),SOU (A),FUL (H),MCI (A),NFO (H),LIV (A),WHU (A),CRY (H),BRE (H),LEI (A),MUN (H),AVL (A),IPS (H),BHA (A),CHE (H),ARS (A),EVE (H)
Nott'ham Forest,BOU (H),SOU (A),WOL (H),LIV (A),BHA (A),FUL (H),CHE (A),CRY (H),LEI (A),WHU (H),NEW (H),ARS (A),IPS (H),MCI (A),MUN (A),AVL (H),BRE (A),TOT (H),EVE (A),WOL (A),LIV (H),SOU (H),BOU (A),BHA (H),FUL (A),NEW (A),ARS (H),MCI (H),IPS (A),MUN (H),AVL (A),EVE (H),TOT (A),BRE (H),CRY (A),LEI (H),WHU (A),CHE (H)
Southampton,NEW (A),NFO (H),BRE (A),MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),EVE (H),WOL (A),LIV (H),BHA (A),CHE (H),AVL (A),TOT (H),FUL (A),WHU (H),CRY (A),BRE (H),MUN (A),NFO (A),NEW (H),IPS (A),BOU (H),BHA (H),CHE (A),LIV (A),WOL (H),CRY (H),TOT (A),AVL (H),WHU (A),FUL (H),LEI (A),MCI (H),EVE (A),ARS (H)
Tottenham,LEI (A),EVE (H),NEW (A),ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),AVL (H),IPS (H),MCI (A),FUL (H),BOU (A),CHE (H),SOU (A),LIV (H),NFO (A),WOL (H),NEW (H),ARS (A),EVE (A),LEI (H),BRE (A),MUN (H),IPS (A),MCI (H),BOU (H),FUL (A),CHE (A),SOU (H),WOL (A),NFO (H),LIV (A),WHU (A),CRY (H),AVL (A),BHA (H)
West Ham,AVL (H),CRY (A),MCI (H),FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),NFO (A),EVE (H),NEW (A),ARS (H),LEI (A),WOL (H),BOU (A),BHA (H),SOU (A),LIV (H),MCI (A),FUL (H),CRY (H),AVL (A),CHE (A),BRE (H),ARS (A),LEI (H),NEW (H),EVE (A),WOL (A),BOU (H),LIV (A),SOU (H),BHA (A),TOT (H),MUN (A),NFO (H),IPS (A)
Wolves,ARS (A),CHE (H),NFO (A),NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),CRY (H),SOU (H),FUL (A),BOU (H),EVE (A),WHU (A),IPS (H),LEI (A),MUN (H),TOT (A),NFO (H),NEW (A),CHE (A),ARS (H),AVL (H),LIV (A),BOU (A),FUL (H),EVE (H),SOU (A),WHU (H),IPS (A),TOT (H),MUN (A),LEI (H),MCI (A),BHA (H),CRY (A),BRE (H)
